time,ask,bid,ticker
1614021049970000000,317.803,317.637,GS
1614021050297000000,317.933,317.637,GS
1614021050856000000,317.902,317.638,GS
1614021050978000000,317.802,317.628,GS
1614021053607000000,317.813,317.627,GS
1614021054156000000,317.802,317.628,GS
1614021061304000000,317.753,317.627,GS
1614021067095000000,317.752,317.688,GS
1614021067334000000,317.753,317.637,GS
1614021070736000000,317.903,317.737,GS
1614021070892000000,317.892,317.698,GS
1614021071018000000,317.892,317.708,GS
1614021071069000000,317.892,317.698,GS
1614021071796000000,317.893,317.687,GS
1614021071897000000,317.892,317.718,GS
1614021072922000000,317.783,317.71700000000004,GS
1614021072972000000,317.883,317.72700000000003,GS
1614021073043000000,317.873,317.747,GS
1614021073282000000,317.872,317.578,GS
1614021074429000000,317.872,317.708,GS
1614021075865000000,20.872,20.858,AAL
1614021076054000000,317.933,317.707,GS
1614021076105000000,317.853,317.707,GS
1614021076379000000,317.793,317.707,GS
1614021076823000000,317.933,317.707,GS
1614021076873000000,317.84200000000004,317.708,GS
1614021077671000000,317.762,317.708,GS
1614021077772000000,317.79200000000003,317.708,GS
1614021077903000000,20.882,20.868,AAL
1614021078011000000,317.752,317.69,GS
1614021078061000000,317.753,317.507,GS
1614021079295000000,317.753,317.587,GS
1614021079982000000,20.873,20.857,AAL
1614021080121000000,317.803,317.587,GS
1614021081841000000,317.783,317.587,GS
1614021082528000000,317.78200000000004,317.598,GS
1614021083549000000,317.78200000000004,317.588,GS
1614021084058000000,317.803,317.507,GS
1614021084137000000,317.763,317.507,GS
1614021084303000000,317.682,317.508,GS
1614021084353000000,317.753,317.507,GS
1614021084992000000,317.753,317.567,GS
1614021085353000000,317.762,317.568,GS
1614021086025000000,317.673,317.567,GS
1614021086076000000,317.763,317.507,GS
1614021086176000000,317.742,317.508,GS
1614021089505000000,20.872,20.848000000000003,AAL
1614021089555000000,20.863000000000003,20.847,AAL
1614021090738000000,317.683,317.507,GS
1614021090788000000,317.742,317.508,GS
1614021091705000000,20.872,20.858,AAL
1614021092826000000,317.802,317.508,GS
1614021092876000000,317.723,317.507,GS
1614021092980000000,317.72200000000004,317.568,GS
1614021095872000000,20.862,20.848000000000003,AAL
1614021101960000000,20.873,20.857,AAL
1614021102258000000,317.72200000000004,317.518,GS
1614021102308000000,317.802,317.628,GS
1614021102358000000,317.802,317.508,GS
1614021102676000000,317.803,317.527,GS
1614021102777000000,317.802,317.508,GS
1614021103799000000,317.763,317.507,GS
1614021105619000000,317.762,317.528,GS
1614021106730000000,317.763,317.507,GS
1614021106780000000,317.763,317.547,GS
1614021112963000000,20.873,20.847,AAL
1614021113014000000,20.863000000000003,20.847,AAL
1614021119037000000,20.853,20.837,AAL
1614021130312000000,20.842,20.828000000000003,AAL
1614021131723000000,20.832,20.818,AAL
1614021131850000000,20.842,20.828000000000003,AAL
1614021132013000000,317.702,317.548,GS
1614021134114000000,20.832,20.818,AAL
1614021134520000000,20.843000000000004,20.827,AAL
1614021135455000000,317.643,317.547,GS
1614021135505000000,317.642,317.478,GS
1614021135834000000,317.652,317.478,GS
1614021137363000000,317.693,317.47700000000003,GS
1614021138132000000,317.703,317.47700000000003,GS
1614021138395000000,317.702,317.428,GS
1614021138467000000,317.702,317.498,GS
1614021139598000000,20.833,20.817,AAL
1614021141091000000,317.643,317.497,GS
1614021141224000000,317.703,317.497,GS
1614021141279000000,317.693,317.497,GS
1614021149336000000,317.692,317.508,GS
1614021149386000000,317.693,317.497,GS
1614021153475000000,317.692,317.558,GS
1614021155506000000,20.843000000000004,20.817,AAL
1614021155954000000,20.843000000000004,20.827,AAL
1614021156534000000,317.693,317.587,GS
1614021156584000000,317.693,317.497,GS
1614021161472000000,317.673,317.497,GS
1614021164402000000,317.612,317.498,GS
1614021164453000000,317.653,317.47700000000003,GS
1614021165535000000,317.603,317.47700000000003,GS
1614021165585000000,317.653,317.47700000000003,GS
1614021180056000000,317.622,317.478,GS
1614021181388000000,317.593,317.47700000000003,GS
1614021187402000000,317.593,317.487,GS
1614021192337000000,317.582,317.488,GS
1614021192437000000,317.593,317.487,GS
1614021196102000000,317.562,317.478,GS
1614021196231000000,317.533,317.47700000000003,GS
1614021196358000000,317.59200000000004,317.478,GS
1614021196454000000,317.563,317.47700000000003,GS
1614021197061000000,317.523,317.47700000000003,GS
1614021197111000000,317.562,317.288,GS
1614021197801000000,317.583,317.28700000000003,GS
1614021198705000000,317.583,317.377,GS
1614021199528000000,317.523,317.377,GS
1614021199578000000,317.582,317.288,GS
1614021199630000000,317.583,317.377,GS
1614021199744000000,317.582,317.288,GS
1614021200156000000,317.59200000000004,317.288,GS
1614021200206000000,317.552,317.288,GS
1614021202503000000,317.533,317.28700000000003,GS
